trip_id,route_id
35902622,53424
35902603,53424
35902630,53424
35902606,53424
35902600,53424
35902614,53424
35902617,53424
35902601,53424
35902627,53424
35902608,53424
35902620,53424
35902624,53424
35902625,53424
35902609,53424
35902619,53424
35902632,53424
35902631,53424
35902604,53424
35902612,53424
35902610,53424
35902611,53424
35902613,53424
35902623,53424
35902628,53424
35902629,53424
35902618,53424
35902602,53424
35902605,53424
35902607,53424
35902616,53424
35902615,53424
35902621,53424
35902626,53424
35902633,53424
35902634,53424
35902643,53424
35902640,53424
35902662,53424
35902652,53424
35902645,53424
35902646,53424
35902635,53424
35902649,53424
35902636,53424
35902638,53424
35902663,53424
35902647,53424
35902653,53424
35902654,53424
35902644,53424
35902650,53424
35902639,53424
35902655,53424
35902656,53424
35902657,53424
35902637,53424
35902642,53424
35902651,53424
35902659,53424
35902660,53424
35902661,53424
35902641,53424
35902648,53424
35902658,53424
35902664,53424
35902665,53424
35902666,53424
35902667,53424
35902668,53424
35902767,53425
35902671,53425
35902670,53425
35902669,53425
35902768,53425
35902769,53425
35902770,53425
35902771,53425
35902772,53425
35902773,53425
35902774,53425
35902775,53425
35902776,53425
35902777,53425
35902778,53425
35902779,53425
35902780,53425
35902781,53425
35902782,53425
35902783,53425
35902784,53425
35902785,53425
35902786,53425
35902787,53425
35902788,53425
35902789,53425
35902790,53425
35902791,53425
35902792,53425
35902793,53425
35902794,53425
35902795,53425
35902796,53425
35902797,53425
35902798,53425
35902799,53425
35902800,53425
35902801,53425
35902802,53425
35902803,53425
35902804,53425
35902805,53425
35902806,53425
35902807,53425
35902808,53425
35902809,53425
35902810,53425
35902811,53425
35902812,53425
35902813,53425
35902814,53425
35902815,53425
35902683,53425
35902682,53425
35902681,53425
35902680,53425
35902679,53425
35902678,53425
35902677,53425
35902676,53425
35902675,53425
35902672,53425
35902673,53425
35902674,53425
35902684,53425
35902685,53425
35902686,53425
35902687,53425
35902688,53425
35902689,53425
35902690,53425
35902691,53425
35902692,53425
35902693,53425
35902694,53425
35902695,53425
35902696,53425
35902697,53425
35902698,53425
35902699,53425
35902700,53425
35902701,53425
35902702,53425
35902703,53425
35902704,53425
35902705,53425
35902706,53425
35902707,53425
35902708,53425
35902709,53425
35902710,53425
